movie_name,genre,number_different_values
Blackout,"[['Action, Crime, Thriller'], ['Crime, Drama, Film-Noir'], ['Crime, Drama, Mystery'], ['Crime, Drama, Romance'], ['Crime'], ['Crime, Drama'], ['Crime, Drama, Thriller'], ['Horror'], ['Horror, Mystery, Thriller'], ['Horror, Mystery'], ['Horror, Thriller'], ['Horror'], ['Horror'], ['Horror, Thriller'], ['Horror'], ['Drama, History'], ['Crime, Drama, Romance'], ['Action, Comedy, Romance'], ['Comedy, Romance'], ['Horror, Mystery, Thriller'], ['Crime, Drama, Film-Noir'], ['Horror, Mystery'], ['Crime, Drama, Mystery'], ['Mystery, Thriller'], ['Crime, Drama, Romance'], ['Action, Crime, Thriller'], ['Action, Thriller'], ['Action, Comedy, Romance'], ['Action, Thriller'], ['Action'], ['Action'], ['Action, Crime, Thriller'], ['Horror, Mystery, Thriller'], ['Thriller'], ['Crime, Drama, Film-Noir'], ['Action, Thriller'], ['Crime, Drama, Romance'], ['Drama, Thriller'], ['Mystery, Thriller'], ['Thriller'], ['Drama, Thriller'], ['Drama, Thriller'], ['Thriller'], ['Action, Thriller'], ['Thriller'], ['Horror, Thriller'], ['Crime, Drama, Thriller'], ['Thriller'], ['Horror, Thriller'], ['Thriller'], ['Thriller']]",19
Untitled,"[['Crime, Thriller'], ['Crime, Drama'], ['Comedy, Drama, Horror'], ['Fantasy, Horror, Thriller'], ['Horror'], ['Horror'], ['Horror'], ['Action, Drama, Fantasy'], ['Drama, History, Thriller'], ['Drama, Romance'], ['Romance'], ['Drama, Mystery, Thriller'], ['Mystery'], ['Mystery'], ['Biography, Drama, Mystery'], ['Fantasy, Mystery'], ['Adventure'], ['Action, Drama, Fantasy'], ['Fantasy, Horror, Thriller'], ['Fantasy, Mystery'], ['War'], ['Action, Drama, Fantasy'], ['Action'], ['Drama, Mystery, Thriller'], ['Fantasy, Horror, Thriller'], ['Drama, Thriller'], ['Crime, Thriller'], ['Thriller'], ['Thriller'], ['Drama, History, Thriller'], ['Biography'], ['Biography, Drama, Mystery']]",19
Alone,"[['Action, Crime, Drama'], ['Drama, Horror, Mystery'], ['Horror, Thriller'], ['Drama, Horror, Thriller'], ['Horror'], ['Horror, Mystery, Thriller'], ['Horror, Mystery, Thriller'], ['Horror, Thriller'], ['Horror'], ['Horror, Thriller'], ['Horror, Mystery'], ['Horror, Thriller'], ['Horror'], ['Action, Horror'], ['Horror, Thriller'], ['Horror, Thriller'], ['Horror'], ['Drama, Romance'], ['Romance'], ['Drama, Horror, Mystery'], ['Horror, Mystery, Thriller'], ['Horror, Mystery, Thriller'], ['Horror, Mystery'], ['Adventure, Drama'], ['Adventure, Drama, Sci-Fi'], ['Adventure'], ['Adventure, Drama, Sci-Fi'], ['Sci-Fi'], ['Sci-Fi'], ['Drama, War'], ['Action'], ['Action'], ['Action, Thriller'], ['Action, Crime, Drama'], ['Action, Horror'], ['Drama, Horror, Mystery'], ['Horror, Thriller'], ['Thriller'], ['Thriller'], ['Drama, Horror, Thriller'], ['Horror, Mystery, Thriller'], ['Horror, Mystery, Thriller'], ['Thriller'], ['Horror, Thriller'], ['Drama, Thriller'], ['Horror, Thriller'], ['Horror, Thriller'], ['Thriller'], ['Action, Thriller'], ['Horror, Thriller'], ['Horror, Thriller'], ['Thriller'], ['Thriller']]",19
Hero,"[['Action, Crime, Drama'], ['Crime, Drama'], ['Biography, Drama, History'], ['Adventure, Drama, Fantasy'], ['Comedy, Drama, Romance'], ['Action, Drama, Romance'], ['Action, Crime, Drama'], ['Action, Drama, Musical'], ['Action, Musical, Romance'], ['Romance'], ['Musical, Romance'], ['Action, Adventure, Drama'], ['Adventure, Drama, Fantasy'], ['Action, Adventure'], ['Adventure, Drama, Fantasy'], ['Action, Adventure, Drama'], ['Action, Crime, Drama'], ['Action, Drama, Thriller'], ['Action, Drama, Romance'], ['Action'], ['Action, Comedy'], ['Action, Drama, Musical'], ['Action, Drama'], ['Action, Musical, Romance'], ['Action, Drama, Thriller'], ['Action, Comedy, Drama'], ['Action, Adventure'], ['Action'], ['Action'], ['Action, Drama, Thriller'], ['Action, Drama, Thriller'], ['Biography, Drama, History']]",17
Revenge,"[['Action, Crime, Drama'], ['Action, Crime, Drama'], ['Crime'], ['Crime'], ['Action, Drama, Horror'], ['Horror'], ['Horror, Thriller'], ['Horror'], ['Drama, History'], ['Action, Crime, Drama'], ['Romance'], ['Action, Romance'], ['Action, Drama, Romance'], ['Action, Comedy, Drama'], ['Drama, Mystery, Thriller'], ['Action, Drama, Horror'], ['Action, Crime, Drama'], ['Action, Thriller'], ['Action, Drama'], ['Action, Crime, Drama'], ['Action, Drama, Romance'], ['Action'], ['Action, Romance'], ['Action'], ['Action, Comedy, Drama'], ['Action'], ['Action'], ['Action, Drama, Horror'], ['Action, Crime, Drama'], ['Drama, Thriller'], ['Action, Thriller'], ['Thriller'], ['Drama, Mystery, Thriller'], ['Thriller, Western'], ['Thriller'], ['Horror, Thriller']]",17
Trapped,"[['Action, Crime, Drama'], ['Crime, Drama, Film-Noir'], ['Crime'], ['Crime, Drama'], ['Crime, Drama'], ['Horror, Thriller'], ['Horror'], ['Horror'], ['Horror'], ['Horror'], ['Horror'], ['Horror, Thriller'], ['Horror'], ['Horror'], ['Drama, Music, Romance'], ['Crime, Drama, Film-Noir'], ['Family'], ['Drama, Mystery, Thriller'], ['Mystery'], ['Adventure, Drama, Thriller'], ['Sci-Fi'], ['Action, Crime, Drama'], ['Action'], ['Action, Crime, Drama'], ['Drama, Thriller'], ['Crime, Drama, Film-Noir'], ['Drama, Thriller'], ['Thriller'], ['Horror, Thriller'], ['Adventure, Drama, Thriller'], ['Drama, Mystery, Thriller'], ['Drama, Thriller'], ['Thriller'], ['Thriller'], ['Thriller'], ['Drama, Thriller'], ['Thriller'], ['Horror, Thriller'], ['Biography']]",16
Karma,"[['Crime, Mystery, Thriller'], ['Action, Crime, Thriller'], ['Crime'], ['Crime'], ['Horror, Thriller'], ['Horror'], ['Horror'], ['Horror, Thriller'], ['Horror'], ['Drama, Romance'], ['Drama, Fantasy, Romance'], ['Drama, Mystery, Thriller'], ['Crime, Mystery, Thriller'], ['Action, Adventure, Drama'], ['Fantasy'], ['Drama, Fantasy, Romance'], ['Drama, War'], ['Action, Adventure, Drama'], ['Action, Drama, Thriller'], ['Action'], ['Action, Thriller'], ['Action'], ['Action'], ['Action, Crime, Thriller'], ['Action'], ['Action'], ['Action'], ['Action, Adventure, Drama'], ['Drama, Thriller'], ['Action, Drama, Thriller'], ['Drama, Mystery, Thriller'], ['Thriller'], ['Horror, Thriller'], ['Thriller'], ['Crime, Mystery, Thriller'], ['Thriller'], ['Action, Thriller'], ['Action, Crime, Thriller'], ['Horror, Thriller']]",16
Broken,"[['Crime, Drama, Thriller'], ['Action, Crime, Drama'], ['Crime, Drama'], ['Crime, Drama, Thriller'], ['Horror, Thriller'], ['Horror, Thriller'], ['Action, Drama, History'], ['Drama, Romance'], ['Romance'], ['Drama, Romance'], ['Romance'], ['Drama, Romance'], ['Comedy, Drama, Family'], ['Action, Adventure, Drama'], ['Sci-Fi'], ['Sci-Fi'], ['Action, Crime, Drama'], ['Action, Adventure, Drama'], ['Action'], ['Action, Drama'], ['Action, Drama, Thriller'], ['Action, Drama, History'], ['Drama, Thriller'], ['Horror, Thriller'], ['Crime, Drama, Thriller'], ['Action, Crime, Drama'], ['Drama, Thriller'], ['Thriller'], ['Drama, Thriller'], ['Action, Drama, Thriller'], ['Crime, Drama, Thriller'], ['Drama, Thriller'], ['Thriller'], ['Horror, Thriller']]",15
Shadows,"[['Action, Crime'], ['Crime'], ['Crime'], ['Drama, Horror, Mystery'], ['Drama, Horror'], ['Horror'], ['Horror'], ['Horror'], ['Horror'], ['Comedy, Horror, Mystery'], ['Horror, Thriller'], ['Horror'], ['Horror'], ['Drama, Music, Romance'], ['Comedy, Horror, Mystery'], ['Animation'], ['Animation, Drama'], ['Drama, Horror, Mystery'], ['Drama, Mystery, Sci-Fi'], ['Comedy, Horror, Mystery'], ['Mystery'], ['Sci-Fi'], ['Drama, Mystery, Sci-Fi'], ['Action, Crime'], ['Action'], ['Thriller'], ['Drama, Horror, Mystery'], ['Thriller'], ['Thriller'], ['Drama, Mystery, Sci-Fi'], ['Thriller'], ['Thriller'], ['Comedy, Horror, Mystery'], ['Horror, Thriller']]",15
Aurora,"[['Horror, Thriller'], ['Horror, Mystery, Thriller'], ['Drama, Horror'], ['Horror'], ['Comedy, Drama, Romance'], ['Comedy, Drama, Mystery'], ['Horror, Mystery, Thriller'], ['Adventure, Sci-Fi'], ['Adventure, Sci-Fi, Thriller'], ['Drama, Sci-Fi, Thriller'], ['Adventure, Sci-Fi'], ['Sci-Fi'], ['Drama, Sci-Fi'], ['Sci-Fi, Thriller'], ['Action, Sci-Fi'], ['Adventure, Sci-Fi, Thriller'], ['Action, Sci-Fi'], ['Drama, Sci-Fi, Thriller'], ['Horror, Thriller'], ['Horror, Mystery, Thriller'], ['Sci-Fi, Thriller'], ['Drama, Thriller'], ['Thriller'], ['Adventure, Sci-Fi, Thriller']]",15
