movie_name,movie_id,number_different_values
Alone,"[['tt3460100'], ['tt7711170'], ['tt10192566'], ['tt0484090'], ['tt4271730'], ['tt0263053'], ['tt1800240'], ['tt15314332'], ['tt26653746'], ['tt1084944'], ['tt11662358'], ['tt8324034'], ['tt15107080'], ['tt16978498'], ['tt9636734'], ['tt3689680'], ['tt5906666'], ['tt1322930'], ['tt3428212'], ['tt7711170'], ['tt0263053'], ['tt1800240'], ['tt11662358'], ['tt16425392'], ['tt9062580'], ['tt5300612'], ['tt9062580'], ['tt10972282'], ['tt3169816'], ['tt0053239'], ['tt6262728'], ['tt18569612'], ['tt1504989'], ['tt3460100'], ['tt16978498'], ['tt7711170'], ['tt10192566'], ['tt15387128'], ['tt10332854'], ['tt0484090'], ['tt0263053'], ['tt1800240'], ['tt13315004'], ['tt15314332'], ['tt0846770'], ['tt1084944'], ['tt8324034'], ['tt8658214'], ['tt1504989'], ['tt9636734'], ['tt3689680'], ['tt4575722'], ['tt6129830']]",35
Blackout,"[['tt8363392'], ['tt0046792'], ['tt0042258'], ['tt0032356'], ['tt3109314'], ['tt9415058'], ['tt0090736'], ['tt23186596'], ['tt0844666'], ['tt13632748'], ['tt4335614'], ['tt1094994'], ['tt12937876'], ['tt3918184'], ['tt21246676'], ['tt21991298'], ['tt0032356'], ['tt16283622'], ['tt1673373'], ['tt0844666'], ['tt0046792'], ['tt13632748'], ['tt0042258'], ['tt1180333'], ['tt0032356'], ['tt8363392'], ['tt0077241'], ['tt16283622'], ['tt5164368'], ['tt9855092'], ['tt4118582'], ['tt8363392'], ['tt0844666'], ['tt0877597'], ['tt0046792'], ['tt0077241'], ['tt0032356'], ['tt0094756'], ['tt1180333'], ['tt8009142'], ['tt6561244'], ['tt3850576'], ['tt2251227'], ['tt5164368'], ['tt4724538'], ['tt4335614'], ['tt0090736'], ['tt1819473'], ['tt3918184'], ['tt13978258'], ['tt7739568']]",33
Trapped,"[['tt0280380'], ['tt0041983'], ['tt21058964'], ['tt1074654'], ['tt0290094'], ['tt1351258'], ['tt2279346'], ['tt13503102'], ['tt21961344'], ['tt7837268'], ['tt6274568'], ['tt15445990'], ['tt6392964'], ['tt7094466'], ['tt0029689'], ['tt0041983'], ['tt18500962'], ['tt3611318'], ['tt10477784'], ['tt2249167'], ['tt5912940'], ['tt0280380'], ['tt1160777'], ['tt0280380'], ['tt6206564'], ['tt0041983'], ['tt3269074'], ['tt23801100'], ['tt1351258'], ['tt2249167'], ['tt3611318'], ['tt0138885'], ['tt4524094'], ['tt11303050'], ['tt10266644'], ['tt9178442'], ['tt2288438'], ['tt15445990'], ['tt26315938']]",31
Retribution,"[['tt3169770'], ['tt3548276'], ['tt3037596'], ['tt2007409'], ['tt10648372'], ['tt1557736'], ['tt0238554'], ['tt5693496'], ['tt0095984'], ['tt0843302'], ['tt4827836'], ['tt4845094'], ['tt0095984'], ['tt0843302'], ['tt2007409'], ['tt10648372'], ['tt5693496'], ['tt4845094'], ['tt6906292'], ['tt3169770'], ['tt3516420'], ['tt9702056'], ['tt12631530'], ['tt3213100'], ['tt13256014'], ['tt1773650'], ['tt10107764'], ['tt6099548'], ['tt4827836'], ['tt3628268'], ['tt4725274'], ['tt6906292'], ['tt3169770'], ['tt0843302'], ['tt3548276'], ['tt1842459'], ['tt9764592'], ['tt12865638'], ['tt12631530'], ['tt4630092'], ['tt0347873'], ['tt0435723'], ['tt4725274'], ['tt5693496']]",29
Karma,"[['tt2393296'], ['tt7979212'], ['tt8555082'], ['tt14635048'], ['tt8594718'], ['tt16912160'], ['tt6415574'], ['tt10614408'], ['tt0885413'], ['tt0155799'], ['tt8432016'], ['tt1415274'], ['tt2393296'], ['tt0091328'], ['tt17321120'], ['tt8432016'], ['tt0342623'], ['tt0091328'], ['tt1762270'], ['tt15234148'], ['tt3734140'], ['tt0355640'], ['tt21229590'], ['tt7979212'], ['tt5982074'], ['tt11159958'], ['tt7230660'], ['tt0091328'], ['tt25151390'], ['tt1762270'], ['tt1415274'], ['tt13224652'], ['tt8594718'], ['tt1239445'], ['tt2393296'], ['tt7573720'], ['tt3734140'], ['tt7979212'], ['tt10614408']]",27
Shadows,"[['tt9854058'], ['tt0022367'], ['tt8201892'], ['tt0834102'], ['tt13123560'], ['tt14881472'], ['tt5047138'], ['tt2255946'], ['tt6116088'], ['tt0486650'], ['tt11241174'], ['tt9572588'], ['tt0774702'], ['tt0053270'], ['tt0486650'], ['tt1563153'], ['tt14880704'], ['tt0834102'], ['tt1422902'], ['tt0486650'], ['tt0339657'], ['tt13282596'], ['tt1422902'], ['tt9854058'], ['tt11942126'], ['tt3400626'], ['tt0834102'], ['tt14241366'], ['tt2345707'], ['tt1422902'], ['tt4052212'], ['tt9406644'], ['tt0486650'], ['tt11241174']]",25
Broken,"[['tt1207641'], ['tt3554976'], ['tt5932800'], ['tt1079348'], ['tt0454839'], ['tt9849934'], ['tt23212434'], ['tt1441940'], ['tt15058860'], ['tt26220552'], ['tt3207370'], ['tt3045700'], ['tt3426866'], ['tt2327233'], ['tt18394402'], ['tt7674532'], ['tt3554976'], ['tt2327233'], ['tt26593714'], ['tt2622536'], ['tt5301840'], ['tt23212434'], ['tt0469045'], ['tt0454839'], ['tt1207641'], ['tt3554976'], ['tt4621398'], ['tt10503270'], ['tt1869318'], ['tt5301840'], ['tt1079348'], ['tt2430010'], ['tt14707456'], ['tt9849934']]",25
Revenge,"[['tt0100485'], ['tt0459759'], ['tt8946418'], ['tt18286422'], ['tt6738136'], ['tt7422674'], ['tt4250968'], ['tt4310790'], ['tt0102497'], ['tt0100485'], ['tt12655520'], ['tt2991524'], ['tt0019320'], ['tt22817270'], ['tt0200009'], ['tt6738136'], ['tt0100485'], ['tt3982768'], ['tt0185842'], ['tt0459759'], ['tt0019320'], ['tt1859578'], ['tt2991524'], ['tt21874184'], ['tt22817270'], ['tt21377894'], ['tt26694988'], ['tt6738136'], ['tt0100485'], ['tt3721256'], ['tt3982768'], ['tt0165928'], ['tt0200009'], ['tt2806870'], ['tt9641274'], ['tt4250968']]",24
Run,"[['tt6671772'], ['tt7261314'], ['tt2574088'], ['tt18275840'], ['tt3397802'], ['tt12767246'], ['tt2215457'], ['tt0331621'], ['tt0411815'], ['tt5584506'], ['tt6412170'], ['tt8633478'], ['tt12381488'], ['tt1846724'], ['tt0102818'], ['tt8365002'], ['tt2215457'], ['tt0331621'], ['tt0411815'], ['tt5584506'], ['tt6412170'], ['tt3397802'], ['tt9071522'], ['tt5134236'], ['tt8633478'], ['tt0102818'], ['tt5076620'], ['tt2215457'], ['tt4460430'], ['tt6671772'], ['tt12381488'], ['tt6412170'], ['tt10929896'], ['tt5314678'], ['tt7430014'], ['tt11940682']]",24
Untitled,"[['tt8723356'], ['tt1091209'], ['tt1995510'], ['tt7553764'], ['tt7272764'], ['tt9162036'], ['tt12697862'], ['tt12894126'], ['tt6845040'], ['tt12636186'], ['tt9795108'], ['tt13451410'], ['tt14642390'], ['tt26471510'], ['tt7659532'], ['tt6708642'], ['tt10488462'], ['tt12894126'], ['tt7553764'], ['tt6708642'], ['tt2672786'], ['tt12894126'], ['tt11459494'], ['tt13451410'], ['tt7553764'], ['tt12860708'], ['tt8723356'], ['tt13891600'], ['tt14237464'], ['tt6845040'], ['tt13340200'], ['tt7659532']]",23
