scores with drama: 
Metric      Genre  balanced_accuracy  precision    recall  genre_occurences
11         Horror           0.743885   0.703769  0.530060          0.073139
15        Romance           0.668899   0.591423  0.407358          0.090971
0          Action           0.664512   0.602652  0.399849          0.097201
16         Sci-Fi           0.653066   0.742204  0.313158          0.027848
5           Crime           0.642172   0.582378  0.328008          0.071868
6           Drama           0.637431   0.545747  0.673114          0.190712
4          Comedy           0.610456   0.548681  0.288793          0.102013
19            War           0.601107   0.624390  0.206452          0.015146
18       Thriller           0.591216   0.498584  0.240898          0.089237
1       Adventure           0.586335   0.501859  0.196697          0.050298
3       Biography           0.577595   0.753521  0.157122          0.016636
7          Family           0.555206   0.596708  0.116000          0.030535
2       Animation           0.553127   0.771739  0.107413          0.016147
17          Sport           0.552459   0.600000  0.106109          0.007597
14        Mystery           0.541659   0.388571  0.095640          0.034737
8         Fantasy           0.541219   0.440816  0.090226          0.029241
10        History           0.539267   0.525253  0.081123          0.015659
20        Western           0.522562   0.500000  0.045662          0.005350
12          Music           0.512162   0.529412  0.025210          0.017442
13        Musical           0.511237   0.520000  0.023132          0.013729
9       Film-Noir           0.499812   0.000000  0.000000          0.004495
{'jaccard': 0.3303023391368255, 'hamming': 0.09448288096505233, 'precision': 0.5700762817101295, 'recall': 0.3720117083555083, 'at_least_one': 0.6540713145290048, 'at_least_two': 0.11490154337413518, 'lemmatized': True}
scores without drama:
Metric      Genre  balanced_accuracy  precision    recall  genre_occurences
10         Horror           0.768839   0.669559  0.593050          0.090352
14        Romance           0.722821   0.536641  0.566327          0.112419
0          Action           0.693004   0.548567  0.495351          0.120117
5           Crime           0.674632   0.527623  0.418763          0.088812
15         Sci-Fi           0.666356   0.701439  0.342105          0.034414
18            War           0.653016   0.608150  0.312903          0.018716
4          Comedy           0.629177   0.496063  0.363200          0.125672
3       Biography           0.620628   0.698745  0.245228          0.020558
17       Thriller           0.617103   0.447921  0.333151          0.110276
1       Adventure           0.609503   0.480591  0.252550          0.062157
6          Family           0.583649   0.533493  0.178400          0.037735
2       Animation           0.560444   0.729730  0.122542          0.019954
9         History           0.556024   0.532374  0.115625          0.019320
16          Sport           0.549220   0.645833  0.099359          0.009419
13        Mystery           0.547930   0.382927  0.110408          0.042927
7         Fantasy           0.545868   0.444444  0.100251          0.036135
11          Music           0.518324   0.529412  0.037975          0.021464
12        Musical           0.514389   0.447368  0.029930          0.017147
19        Western           0.513591   0.600000  0.027397          0.006611
8       Film-Noir           0.499812   0.000000  0.000000          0.005796
{'jaccard': 0.35942699197363526, 'hamming': 0.08359113379046404, 'precision': 0.5369735466609967, 'recall': 0.38928754938960647, 'at_least_one': 0.5834795088502631, 'at_least_two': 0.04326795301121565, 'lemmatized': True}
score without drama and solver lbfgs and iter 100:
Metric      Genre  balanced_accuracy  precision    recall  genre_occurences
10         Horror           0.768839   0.669559  0.593050          0.090352
14        Romance           0.722821   0.536641  0.566327          0.112419
